	ime	leto	obrazlozitev	id
1804	Slovenska cesta	1991	Po imenu republike Slovenije in večinskem narodu te republike.	610111065;1266
1805	Udvančeva ulica	1958	Matija Udvanc - Hanz Weiss, roj. 1912 na Ježici pri Ljubljani, padel 1942 pri Crngrobu pri Škofji Loki; ključavničar, predvojni komunist, španski borec.	610111229;1341
1806	Ukmarjeva ulica	2010	Vilko Ukmar, roj. 1905 v Postojni, umrl 1991 v Ljubljani; slovenski skladatelj, pedagog in muzikolog.	610111574;2022
1807	Ulica 15. aprila	1959	Ta dan leta 1920 so se ljubljanski železničarji pridružili splošni stavki železničarjev Jugoslavije. Stavkajoče in druge delovne ljudi je ob demonstracijah na Zaloški cesti napadla policija in pri tem ubila 14 ljudi. V spomin na ta dogajanja je postavljen	610111329;1417
1808	Ulica 15. maja	1984	V spomin na zadnje boje JLA z nemškim okupatorjem 15. 5. 1945 na Koroškem in Štajerskem in dokončno osvoboditev Jugoslavije.	610111330;1418
1809	Ulica 15. maja	1984	V spomin na zadnje boje JLA z nemškim okupatorjem 15. 5. 1945 na Koroškem in Štajerskem in dokončno osvoboditev Jugoslavije.	610111330;2415
1810	Ulica 24. avgusta	1970	24. avgusta leta 1936 so se veliki tekstilni stavki pridružili tudi delavci tekstilne tovarne Beer-Hribernik v Vižmarjah pri Ljubljani (sedaj Tkalnica Vižmarje).	610111331;1421
1811	Ulica 28. maja	1976	Ta dan leta 1942 je italijanski okupator aretiral 91 aktivistov in pripadnikov OF z območja Dravelj in jih nato odpeljal v koncentracijska taborišča v Italiji. V spomin na ta dogodek krajani Dravelj in Podutika praznujejo svoj krajevni praznik.	610111332;1419
1812	NA	NA	NA	NA
1813	Cankarjeva cesta	1946	Ivan Cankar, roj. 1876 na Vrhniki, umrl 1918 v Ljubljani; pisatelj, klasik slovenske dramatike, vrhunski stilist, mojster impresionistične in simbolistične kratke pripovedi, oster družbeni in kulturni kritik, satirik, ena vodilnih osebnosti slovenske lite	610110092;98
1814	Ulica 4. julija	1970	Po 4. juliju, dnevu borcev, dnevu vstaje jugoslovanskih narodov. Na zasedanju glavnega štaba NOV in POJ dne 27. 6. 1941 so na osnovi proglasa CK KPJ z dne 22. 6. 1941 sprejeli odlok o oboroženem boju jugoslovanskih narodov proti okupatorjem, s pričetkom 4	610111333;1420
1815	Ulica 7. septembra	1958	V noči na 7. September 1941 je skupina skojevcev z Ježice napadla v tej ulici obmejno italijansko stražo in pri tem ranila dva vojaka.	610111334;1422
1816	Park Sveta Evrope	2004	Po medvladni organizaciji Counsil of Europe s sedežem v Strasbourgu s 45 državami članicami, ki zastopa okrog 800 milijonov državljanov.	610111335;1614
1817	Ulica 9. junija	1980	V spomin na 9.junij ko sta zaradi izdaje padla v boju z nemško policijo Ciril Peršin in Jpže Jama, Hafner pa je bil ujet in pozneje kot talec ustreljen.	610111336;1980
1818	Ulica aktivistov	1958	V spomin na aktiviste OF, ki so delovali na obmocju občine Bežigrad.	610111230;1343
1819	Ulica Ambrožiča Novljana	2009		610110350;1689
1820	Ulica Ambrožiča Novljana	2009		610110350;1688
1821	Ulica Andreja Kumarja	1982	Andrej Kumar-Marko, 1893-1969. Partizanski delavec, borec na Solunski fronti, emigriral v Argentino in Francijo, nato se vrnil v Jugoslavijo. V njegovem stanovanju na Ježici bila ilegalna tiskarna. Po vojni družbeno politični delavec. Nosilec partizanske spomenice 1941.	610111231;1937
1822	Ulica Ane Ziherlove	1968	Ana Ziherl, roj. 1887 v Skofji Loki, umrla 1958 v Ljubljani; gospodinja, predvojna revolucionarka in komunistka, aktivistka OF v Ljubljani in družbenopolitična delavka, nosilka Partizanske spomenice 1941.	610111232;1344
1823	Ulica Angelce Ocepkove	1976	Angelca Ocepek, roj. 1912 v Vevčah pri Ljubljani, umrla 1959 v Ljubljani; delavka, predvojna revolucionarka in komunistka, organizatorka OF in Slovenske protifašistične ženske zveze, po osvoboditvi predsednica Zveze ženskih organizacij Slovenije.	610111233;1345
1824	Ulica Angele Ljubičeve	1983	Angelca Ljubič, 1910-1980. Članica Sokola in se leta 1941 vključila v NOB, ter aktivno sodelovala kot članica OF in AFŽ. Po vojni učiteljevala.	610111234;1938
1825	NA	NA	NA	NA
1826	Ulica borca Petra	1963	Peter Laznik-Pero, roj. 1924 v Kozarjah pri Ljubljani, padel 1943 kot politkomisar bataljona nad Otaležem pri Idriji; delavec, od 1941 aktivist OF.	610111236;1346
1827	Ulica borcev za severno mejo	1974	V spomin borcem za slovensko severno mejo v letih 1918 - 1919. Leta 1974 jim je Skupščina mesta Ljubljane podelila domicil.	610111237;1347
1828	Ulica bratov Babnik	1976	Po bratih Babnik. Franc Babnik, roj. 1912 v Dravljah, umrl 1974 v Ljubljani; šofer, predvojni revolucionar in komunist, od 1941 aktivist OF in borec NOV. Po osvoboditvi družbenopolitični delavec, nosilec Partizanske spomenice 1941. Stefan Babnik - prvoborec, umrl 1974.	610111238;1349
1829	Ulica bratov Bezlajev	1973	Po bratih Bezlaj, Maks Bezlaj, roj. 1910 v Dravljah pri Ljubljani, padel 1944 v Ravnah na Koroškem kot politkomisar brigade; ključavničar, od leta 1941 aktivist OF. Rudolf-Dolfe Bezlaj, roj. 1922 v Dravljah, padel 1944 na Suhorju; ključavničar, od leta 1	610111239;1350
1830	Ulica bratov Blanč	1970	Po bratih Blanč. Drago-Martin Kajuh, roj. 1920 v Ljubljani, padel 1944 na Babnem polju na Notranjskem kot namestnik brigadnega politkomisarja; dijak, predvojni revolucionar, od 1941 aktivist OF in borec VOS OF. Janez, roj. 1925 v Ljubljani; dijak, od 1941	610111240;1351
1831	Ulica bratov Jančar	1976	Po bratih Jančar. Maks Jančar, roj.1920 v Ljubljani, padel 1944 v Trnovskem gozdu na Primorskem; ključavničar, predvojni revolucionar in aktivist OF. Pavel Jančar, roj. 1921, umrl 1945 v Ljubljani; mizar, predvojni revolucionar in aktivist OF.	610111241;1352
1832	Ulica bratov Knapič	1970	Po bratih Knapič. Mirko Knapič, roj. 1917 v Tacnu pri Ljubljani, kot talec 1941 ustreljen v Begunjah; pleskar, predvojni revolucionar, prvoborec. Ciril Knapič, roj. 1925 v Tacnu, ustreljen 1941 kot talec v bližini Šentvida pri Ljubljani; vajenec.	610111242;1353
1833	Ulica bratov Komel	1968	Po bratih Komel. Anton Komel, roj. 1914 v Kromberku pri Gorici, ustreljen 1942 kot talec v Begunjah; kovino- strugar, predvojni revolucionar in aktivist OF, deloval v Šentvidu pri Ljubljani. Franc Komel, roj. 1917 v Podgori pri Ljubljani; brivc.	610111243;1354
1834	Ulica bratov Kraljič	1970	Po bratih Kraljič. Izidor Kraljič, roj. 1918 v Spodnjih Pirničali pri Ljubljani, ustreljen 1942 kot talec v Begunjah; zidar, predvojni revolucionar in komunist. Slavko Kraljič, roj. 1922 v Spodnjih Pirničah, padel 1941; ključavničar, predvojni revolucionar.	610111244;1355
1835	Ulica bratov Martinec	1982	Ivan Martinec-Langi, 1909-193. Oba brata sta šla v partizane. Ivan je bil kot komandir 3.bataljona Šercerjeve brigade smrtnop ranjen. Drago, 1920-1945. Predvojni član KPJ in organizator OF. Leta 1945 izdan in je v borbi z ukupatorjem padel.	610111245;1940
1836	Ulica bratov Miklič	1970	Po bratih Miklič. Alojz Miklič, roj. 1911 v Mlačevem pri Grosupljem, padel 1943 pri Ponikvah pri Velikih Laščah; pekovski pomočnik, od leta 1941 aktivist OF. Ludvik Miklič, roj. 1912 v Mlačevem pri Grosupljem, padel 1044 v Studenčicah; železničar, od let	610111246;1356
1837	Ulica bratov Novak	1983	Ivan Novak, 1896-1969. Predvojni član KPS in organizator delavsko kmečkega gibanja na območju Šmatrnega pod Šmarno goro. Nosilec partizanske spomenice 1941. Miha Novak, 1900-1941. Predvojni komunist, v njegovi hiši je bila 1939 leta pomembna državna konferenca KPS. Po mučenju umrl v Begunjah.	610111247;1941
1838	Ulica bratov Rozmanov	1959	Po bratih Rozman. Avgust Rozman, roj. 1915 v Ljubljani, ubit 1942 v ljubljanskih okupatorskih zaporih; kovinostrugar, predvojni revolucionar in komunist, organizator OF in borec VOS OF v Ljubljani. Miro Rozman, roj. 1917 v Ljubljani; strojni tehnik, predv	610111248;1358
1839	Ulica bratov Škofov	1973	Po bratih Škof. Vinko Škof, roj. 1919 v Dravljah pri Ljubljani, ustreljen 1943 kot talec v Ljubljani; mizar, predvojni revolucionar, od leta 1941 aktivist OF. Jože-Ciba Škof, roj. 1921 v Ljubljani, padel 1942 v Strahinju pri Kranju; tapetnik, od leta 194	610111249;1359
1840	Ulica bratov Tuma	1976	Po bratih Tuma. Ostoj Tuma, roj. 1906 v Gorici, umrl 1972 v Ljubljani; elektrotehnik, aktivist OF od leta 1941 v Ljubljani, deloval pri ilegalnem tisku KP in OF v lastni tiskarni; dr. Boris Tuma, roj. 1909 v Gorici; pravnik, aktivis OF od leta 1941 v Ljub	610111250;1360
1841	Ulica bratov Učakar	1976	P bratih Učakar. Maks Učakar, roj. 1906 na Pristavi pri Moravčah, ustreljen 1943 v Begunjah (zajet v partizanski bolnišnici v Kandršah pri Moravčah); avtokolar, predvojni revolucionar, aktivist OF od leta 1941 v Ljubljani. Ferdinand-Nande Učakar, roj. 192	610111251;1361
1842	Ulica bratov Židan	1968	Po bratih Židan. Janez Židan, roj. 1924 v Ljubljani, padel 1944 pri Stičntrgovski; vajenec, od leta 1941 aktivist mladinske OF. Stanislav Židan, roj. 1927 v Ljubljani, padel 1943 v Gabrovki pri Litiji; dijak, od 1941 aktivist OF.	610111252;1363
1843	Ulica Cankarjeve brigade	1980	Ime je predlagal koordinacijski odbor ob 35. letnici osvoboditve v Mestni konferenci SZDL. V spomin in priznanje enotam naše NOV.	610111253;1942
1844	Ulica Dušana Kraigherja	1982	Dušan Kraigher-Jug, 1908-1943. Član KPJ. Od leta 1941 vodja centralne tehnike, organizator dokumentarne tehnike in pirotehnike. Narodni heroj.	610111254;1943
1845	Ulica Ernesta Kramerja	1997	Ernest Kramer, roj. 1854 v Škofji Loki, umrl v Ljubljani; agronom, kemik.	610111505;1597
1846	Ulica Ferda Kozaka	1998	Po dosedanji obrazložitvi za Kozakovo ulico.	610110485;1605
1847	Ulica Franca Mlakarja	1976	Franc Mlakar, roj. 1926 v Ljubljani, padel 1942 v Polhograjskih Dolomitih; dijak, od 1941 aktivist mladinske OF.	610111255;1364
1848	Ulica Franca Nebca	1984	Nebec Franc, 1921 Ljubljana - 1978 Ljubljana. Izučen trgovec, član SKOJ-a od 1941 član KP. Osnoval je podjetje Prehrano, poznejšo Emono.	610111256;1944
1849	Ulica Francke Jerasove	1970	Francka Jeras, roj. 1916 v Mednem pri Ljubljani, umrla 1944 po mučenju v bolnišnici v Ljubljani; delavka, predvojna revolucionarka, aktivistka OF.	610111257;1365
1850	Ulica Franja Novaka	1982	Franjo Novak, 1892-1977. Predvojni revolucionar in komunist, Udeleženec I. svetovne vojne in oktoberske revoluvije v Rusiji. Aktivni udeleženec NOV. Po osvoboditvi družbeno politični delavec.	610111258;1945
1851	Ulica Franje Koširjeve	1970	Franja Malenšek-Koširjeva, roj. 1852, umrla 1927 v Tacnu; Fran Levstik ji je posvetil več pesmi. Koširjeva je pozdravila z nagovorom udeležence na Vižmarskem taboru.	610111259;1366
1852	Ulica gledališča BTC	2010	Po gledališču v ob tej ulici.	610111560;2008
1853	Ulica Goce Delčeva	1952	Goce Delčev, roj. 1872 v Kukušu, padel 1903v boju s Turki v Banici; ideolog in organizator makedonskega narodnorevolucionarnega gibanja, član centralnega komiteja VMRO.	610111260;1368
1854	Ulica Gradnikove brigade	1981	V spomin borcem, ki so se borili na Primorskem in Beneški Sloveniji ob kapitulaciji Italije pa v Grčaricah.	610111261;1946
1855	Ulica Gubčeve brigade	1980	V spomin in skromno priznanje enotam NOV, ki so se borile za osvoboditev Ljubljane.	610111262;1947
1856	Ulica Hermana Potočnika	2000	Potočnik Noordung Herman, roj.1892, umrl 1929; stotnik avstrijske vojske, izumitelj in pionir raketarstva svetovnega slovesa.	610110794;1622
1857	Ulica Iga Grudna	1984	Igo Gruden, 1893-1948. Pravnik, slovenski pesnik, udeleženec NOB.	610111263;1948
1858	Ulica Ivana Roba	1984	Ivan Rob, 1908-1943. Pesnik, satirik, časnikar, udeleženec NOB, kjer je bil zajet in ustreljen kot talec.	610111264;1949
1859	Ulica Ivice Pirjevčeve	1983	Ivica Pirjevec, roj. 1925 v Ljubljani. Oktobra 1941 so jo Nemci izgnali v Ljubljano, kjer je aktivno delala v zvezi komunistične mladine. Februarja 1942 je bila aretirana, nato internirana v Italijo. Po kapitulaciji Italije se je priključila enotam NOV in POJ. Padla je januarja 1945 v boju z nemškimi policisti.	610111266;1950
1860	Ulica Jana Husa	1952	Jan Hus, roj. ok. 1369 v Husince na Ceškem, umrl 1415 v Konstanzi, Švica; verski reformator in borec za pravice češkega naroda.	610111267;1372
1861	Ulica Janeza Pavla II	1997		610111476;1603
1862	Ulica Janeza Rožiča	1983	Janez Rožič, 1904-1943. Predvojni komunist, 1941 se je priključil NOB, deloval kot član OF v Tacnu. 1943 je bil aretiran in ustreljen kot talec v Seleški dolini.	610111268;1951
1863	Ulica Josipine Turnograjske	1937	Josipina Urbančič-Turnograjska, roj. 1833 na gradu Turn v Potočah na Gorenjskem, umrla 1854 v Gradcu; prva slovenska pisateljica.	610111269;1373
1864	Ulica Jožeta Jame	1968	Jože Jama-Sine, roj. 1922 v Poljanah pri Ljubljani, padel 1944 v Vižmarjah pri Ljubljani; ključavničar, od 1941 aktivist OF in borec VOS OF.	610111270;1374
1865	Ulica Jožeta Japlja	1984	Jože Japelj, 1903-1974. Udeleženec NOB, nosilec partizanske spomenice. Od 1944 zaprt v koncentracijskem taborišču Dachau. Po vojni aktiven družbeno politični delavec.	610111271;1952
1866	Ulica Jožeta Mirtiča	1982	Jože Mirtič - 24.10.1912 v Ljubljani - 10.11.1944. Gradbeni delavec, predvojni član KPJ, v NOB od 1941. Umrl v strašnih mukah (belogardisti so živemu vrezali v obraz peterokrako zvezdo). Za narodnega heroja proglašen 27.2.1953.	610111272;1953
1867	Ulica Jožeta Štruklja	1983	Jože Štrukelj - Golob, 27.3.1908 v Šmartnem pod Šmarno goro, mizar. Leta 1941 se je priključil NOB in delal kot član OF VOS v okolju Smlednik. Padel je v nemški ofenzivi 12.6.1944 v bližini Smlednika.	610111273;1954
1868	NA	NA	NA	NA
1869	Ulica Konrada Babnika	1970	Konrad Babnik, roj. 1920 na Trati pri Ljubljani, padel 1942 v Udenborštu pri Kranju; avtokolar, predvojni revolucionar in aktivist OF.	610111274;1375
1870	Ulica Koroškega bataljona	1970	Koroški bataljon je organiziral iz vzhodnokoroške čete marca 1943 v Koprivni pri Črni takratni komandant 4. operativne cone Franc Rozman-Stane; štel je okoli 100 borcev in bil jedro NOV na vzhodnem Koroškem.	610111275;1376
1871	NA	NA	NA	NA
1872	Ulica Lili Novy	1984	Lili Novy, 1885-1958. Slovenska pesnica in prevajalka. Aktivistka OF.	610111277;1955
1873	Ulica Lizike Jančarjeve	1983	Lizika Jančar-Majda, 27.10.1919, Maribor - 1943, Dobrova pri Ljubljani. Študentka medicine in predvojna članica SKOJ-a nato KPS. Leta 19941 se je vključila v NOB, delala kot ilegalka pri Radiju.	610111278;1956
1874	Ulica Lojzeta Spacala	2001	Spacal Lojze, 15.6.1907 v Trstu - 6.5.2000 v Trstu. Slikar in grafik. Uveljavil se je v grafiki, oljnem slikarstvu, mešanih tehnikah, freski. Pomembne so upodobitve kraškega človeka in kraškega sveta. Leta 1974 je za življensko delo dobil Prešernovo nagrado.	610111518;1632
1875	Ulica Lojzke Štebijeve	1982	Alojzija Štebi, 1883-1956. Učiteljica, predvojna revolucionarka, borka za ženske pravice.	610111279;1957
1876	Ulica Lovre Klemenčiča	1982	Lovro Klemenčič, 1891-1928. Student medicine, predvojni revolucionar in komunist.Prvi sekretar PK KPJ Slovenije. Osnoval ilegalni list KPS Delavske novice.	610111280;1958
1877	Ulica lvanke Kožuh	1970	Ivanka Kožuh, roj. 1925 v Ljubljani, ranjena in ubita 1944 v Brezjah pri Trebnjem; dijakinja, od 1941 aktivistka mladinske OF.	610111265;1369
1878	Ulica Malči Beličeve	1965	Malči Belič, roj.1908 v Ljubljani, po hudem mučenju ubita 1943 v okupatorjevih ječah v Ljubljani; trgovska pomocnica, predvojna revolucionarka, organizatorka OF, narodna herojka.	610111282;1380
1879	Ulica Manice Komanove	1968	Manica Koman, roj. 1880 v Vižmarjah, umrla 1961 v Ljubljani; pisateljica, najuspešnejša v kratkih poljudno pisanih povestih.	610111283;1381
1880	Ulica Marije Drakslerjeve	1981	Marija Draksler, 1903-1973. Predvojna revolucionarka in komunistka. Večkrat preganjana in zaprta. Članica AFŽ Slovenije. pomembne družbeno politične funkcije.	610111284;1959
1881	Ulica Marije Hvaličeve	1974	Marija Hvalič, roj. 1918 v Podutiku pri Ljubljani, ubita 1943 kot partizanska bolničarka v Rovtah nad Logatcem; delavka, od 1941 aktivistka OF.	610111285;1382
1882	Ulica Marije Mlinar	1970	Marija Mlinar-Maruša, roj. 1912 v Glincah pri Ljubljani, padla 1943 na Uovi gori kot bataljonska politkomisarka; delavka, predvojna revolucionarka in komunistka, od 1941 kurirka pri Glavnem poveljstvu slovenskih partizanskih čet.	610111286;1383
1883	Ulica Marje Boršnikove	1984	Marja Borštnikova, 1906-1982. Univerzitetna profesorica, literarna zgodovinarka. Kot aktivistka OF 1942 odpuščena iz službe in aretirana.	610111287;1960
1884	Ulica Marka Šlajmerja	1984	Marko Šlajmer, 1927-1969. Dipl. ing. arhitekture. Sodeloval v OF. Sodeloval v strokovnih društvih na družbeno političnem področju, predusem na področju planiranja in urejanja prostora v Ljubljani.	610111288;1961
1885	Ulica Metoda Mikuža	1984	Metod Mikuž, 1909-1982. Slovenski zgodovinar, pisec del o Slovencih v stari Jugoslaviji, udeleženec NOV, družbeno politični delavec.	610111289;1962
1886	Ulica Milana Majcna	1952	Milan Majcen, roj. 1914 v Šentjanžu na Dolenjskem, padel 1941 v Murencah nad Šentjanžem kot komandir Mokronoške čete; gostilničar, predvojni revolucionar in aktivist OF v Ljubljani, narodni heroj.	610111290;1385
1887	Ulica Milke Kerinove	1983	Molka Kerin, 1.1.1923 - 30.6.1944. Padla v boju za Ljubno ob Savinji. Bila proglašena za narodnega heroja.	610111291;1963
1888	Ulica Minke Bobnar	1980	Milka Bobnar, 1922-1944; skojevka ki je stanavala na tej ulici; dvakrat internirana.	610111292;1964
1889	Ulica Mire Miheličeve	1987	Mira Mihelčič, 1912-1985. Slovenska pisateljica in prevajalka, pripovednica s smislom za upodabljanje slovenske meščanske družbe in ženskih likov.	610111293;1965
1890	Ulica Mirka Jurce	1982	Miko Jurva-Mičo, 1922-1945. Predvojni skojevec, od leta 1942 v NOB, padel kot namestnik komisarja Levstikove brigade.	610111294;1966
1891	Ulica Mirka Tomšiča	1983	Mirko Tomšič, 1920-1941. Simpatizer KPJ,leta 1941 se je priključil NOB. Bil je kurir in obveščevalec. Aretiran in ustreljen kot talec.	610111295;1967
1892	Ulica Miroslava Turka	1984	Miroslav Turk, 1923-1943. Udeleženec NOB, zajet, v koncantracijskem taborišču Mathausen zaradi izčrpanosti umrl.	610111296;1968
1893	Ulica miru	1968	Izraža težnjo slovenskega in jugoslovanskih narodov po miru.	610111297;1387
1894	Ulica Molniške čete	1982	13. julija 1941 je bila v gozdovih Molnika ustanovljena Molniška četa, kot prva partizanska četa.	610111298;1969
1895	Ulica na Grad	1876	Vodi na Ljubljanski grad.	610111299;1391
1896	Ulica Nade Čamernikove	1974	Nada Čamernik-Tatjana, roj. 1922 v Ljubljani, padla 1942 na Travniku v Kočevskem Rogu; študentka, od leta 1941 aktivistka OF.	610111300;1388
1897	Ulica nadgoriških borcev	1982	V spomin na padle borce tega naselja v NOV.	610111301;1970
1898	Maroltova ulica	1991		610110604;1389
1899	Ulica Olge Mohorjeve	1973	Olga Mohar-Katja, roj. 1919 v Dolenji Tribuši, umrla 1943 v partizanski bolnišnici pod Krnom; delavka v Savljah pri Ljubljani, od leta 1942 članica partijskega komiteja in obveščevalka zunanjega Ijubljanskega okrožja, ranjena na pohodu na Primorsko.	610111302;1392
1900	Ulica padlih borcev	1958	V spomin 83 padlim aktivistom OF in borcem NOV z območja takratnega rajona Ježica.	610111303;1394
1901	Ulica Pariške komune	1980	Leta 1871 je bila v Parizu prva proletarska revoluvija v zgodovini, za /2 dni je delavski razred prevzel oblasr.	610111304;1971
1902	Ulica Pavle Jeromnove	1982	Pavla Jermanova, 1919-1944. Vsi člani družine so sodelovali v NOB. 1941 se je vključila v delo OF na terenu. 1943 aretirana in odpeljana v koncentracijsko taborišče Auschwitz, kjer je umrla.	610111305;1972
1903	Ulica Pavle Jeromnove	1962	V posvetilo borcem Pohorskega bataljona, ki je bil ustanovljen avgusta 1942, štel je okoli 100 borcev in bil januarja 1943 uničen do zadnjega borca v junaškem boju pri Treh žebljih na Pohorju.	610111306;1395
1904	Ulica Polonce Čude	1976	Polonca Čude, roj.1908 v Slapah pri Ljubljani, ubita 1943 od »črne roke« v Ljubljani; delavka, predvojna revolucionarka, komunistka in organizatorka OF.	610111307;1396
1905	Ulica pregnancev	1968	Po tej ulici je nemški okupator v letih 1941 in 1942 vodil slovenske pregnance v preselitveno taborišče v Šentvidu pri Ljubljana in od tam v Srbijo in na Hrvaško.	610111308;1397
1906	Ulica prvoborcev	1958	V posvetilo prvoborcem iz te ulice, kjer je dclovalo v OF v prvem leru okupacije 17 družin; že takrat je odšlo v partizane 10 aktivistov, med njimi jih je padlo 6, preživeli pa so nosilci Partizanske spomenice 1941.	610111309;1398
1907	Ulica Rezke Dragarjeve	1968	Rezka Dragar-Eva, roj. 1913 v Krašnji pri Moravčah, zajeta in ustreljena 1941 na Lancovem pri Radovljici; delavka, predvojna revolucionarka in komunistka, organizatorka OF v okolici Ljubljane, prvoborka.	610111310;1399
1908	Ulica Rezke Klopčič	1971	Rezka Klopčič, roj. 1895, umrla 1966 v Ljubljani; delavka, borka NOV in družbenopolitična delavka, nosilka Partizanske spomenice 1941.	610111311;1400
1909	Snežniška ulica	1934	Po Snežniku, gori na Notranjskem.	610111072;1157
1910	Ulica Rozke Usenik	1968	Rozka Usenik-Valči, roj. 1925 v Podkrajnem vrhu pri Kočevju, padla 1944 v Stanežičah pri Ljubljani; delavka, aktivistka mladinske OF.	610111312;1401
1911	Ulica Rudolfa Janežiča	1965	Rudolf Janežič, roj. 1891, umrl 1958 v Ljubljani; delavec, predvojni revolucionar in komunist, organizator OF in družbenopolitični delavec.	610111313;1402
1912	Dvojna ulica	1997		610111314;1718
1913	Ulica Staneta Severja	1977	Stane Sever, roj. 1914 v Ljubljani, umrl 1970 v Ribnici na Pohorju; igralec, aktivist OF in prvoborec, profesor na AGRFT v Ljubljani, realistični oblikovalec, eden najboljših značajskih igralcev.	610111315;1404
1914	Ulica stare pravde	1903	V spomin na slovensko-hrvatski kmečki upor.	610111316;1405
1915	Samova ulica	1977	Samo, slovanski knez v 7. stoletju, združil je slovanska plemena v močno zvezo ter njene meje razširil tudi na Slovence v Vzhodnih Alpah vse do Furlanije.	610111038;1126
1916	Ulica Štefke Zbašnikove	1982	Štefka Zbašnik, 1901-1973. Predvojna revolucionarka in komunistka. Sodelovala pri organizaciji štrajkov po raznih krajih Slovenije. Družbeno politična delavka.	610111317;1973
1917	Ulica talcev	1952	Na mestu, kjer ob tej ulici stoji spomenik, je italijanski okupator 13. 10. 1942 ustrelil 24 aktivistov OF. V spomin na te ustreljene talce.	610111318;1409
1918	Ulica Tomšičeve brigade	1984	Po prvi slovenski NOUB, ki je bila ustanovljena poleti 1942. Ime je dobila po Tonetu Tomšiču. enem vodilnih komunistov in organizatorjev vstaje proti okupatorju.	610111319;1974
1919	Ulica Tončke Čečeve	1981	Tončka Čeč, 1896-1943. Članica KPJ, večkrat zaprta, ujeta, mučena in poslana v taborišče. Narodni heroj.	610111320;1975
1920	Ulica v Kokovšek	1980	Domače ime predela po katerem poteka ulica.	610111321;1976
1921	Ulica Vide Janežičeve	1976	Vida Janežič, roj.1914 v Podbrdu pri Tolminu, po hudem mučenju1944 ubita v ljubljanskih okupatorjevih zaporih; profesorica, predvojna revolucionarka in organizatorka OF v Ljubljani, narodna herojinja.	610111322;1410
1922	Ulica Vide Pregarčeve	1952	Vida Pregarc, roj. 1920 v Trstu, ustreljena 1942; uslužbenka, aktivistka OF.	610111323;1412
1923	Ulica Vladimirja Trampuža	1984	Vladimir Trampuž, 1904-1982. Zdravnik, aktivist OF.	610111324;1977
1924	Ulica Vladimirja Trampuža	1984	Vladimir Trampuž, 1904-1982. Zdravnik, aktivist OF.	610111325;1978
1925	Ulica Žanke Erjavec	1970	Žanka Erjavec-Ida, roj. 1926 v Vižmarjah pri Ljubljani, ubita 1945 v Vižmarjah kot okrajna sekretarka SKOJ; dijakinja, aktivistka mladinske OF.	610111327;1414
1926	Ulica Žanke Erjavec	1970	Žanka Erjavec-Ida, roj. 1926 v Vižmarjah pri Ljubljani, ubita 1945 v Vižmarjah kot okrajna sekretarka SKOJ; dijakinja, aktivistka mladinske OF.	610111328;1979
1927	Ullica Zore Ragancinove	1973	Zora Regancin-Dolničar, Ruška, Marija, roj. 1921 v Polju pri Ljubljani, ubita neznano kje; delavka, od 1941 aktivistka. 1944 ujeta naljubljanskih ulicah kot kurirka poverjeništva CK KPS in IO OF za Ljubljano, narodna herojinja.	610111326;1413
1928	Uraničeva ulica	1976	Po bratih Uranič. Dragomir Uranič, roj. 1921 v Stični na Dolenjskem, umrl v koncentracijskem taborišču Auschwitz; student, predvojni revolucionar, aktivist OF od leta 1941 v Ljubljani, zajet 1942 kot borec NOV. Dušan Uranič, roj. 1923 v Crnomlju; dijak,	610111337;1423
1929	Uršičev štradon	1913	Domače ime, verjetno po tamkajšnjem posestniku.	610111338;1424
1930	Usnjarska ulica	1876	Po nekdanji tovarni usnja.	610111339;1425
1931	V Češnjico	1985	Ulica vodi proti naselju Češnjica.	610240003;2032
1932	V dolini	1958	Domače krajevno ime.	610111340;1433
1933	V Dovjež	1970	Po katastrski označbi.	610111341;1434
1934	V Karlovce	1985	Ulica vodi proti pobočju Karlovce, kar je katastrska oznaka območja	610240004;2033
1935	V Karlovce	1985	Ulica vodi proti pobočju Karlovce, kar je katastrska oznaka območja	610190004;2028
1936	V Kladeh	1968	Po katastrski označbi terena.	610111342;1463
1937	V Murglah	1982	Domače ime po murvah, s katerimi je bila ulica še pred leti obsajena.	610111343;1466
1938	V Murglah	1982	Domače ime po murvah, s katerimi je bila ulica še pred leti obsajena.	610111343;2416
1939	V Sige	1988	Domače krajevno ime.	610111344;1981
1940	V Toplice	1988	Po nekdanjih Fužinskih toplicah.	610111345;1982
1941	V Varde			610111346;1983
1942	V Zalar	1988	Po starem ledinskem imenu predela.	610111347;1984
1943	Vagajeva ulica	1974	Po bratih Vagaja. Uroš-Slika Vagaja, roj. 1920, umrl 1971 v Ljubljani; študent, prvoborec, član Pokrajinske tehnike KPS za Slovensko primorje, po vojni deloval kot oblikovalec. Dušan Vagaja, roj. 1922 v Ljubljani, padel 1945 v Mrzli Rupi na Primorskem;	610111348;1426
1944	Bernekerjeva ulica	1937	Franc Berneker, roj. 1874 v Lehnu blizu Smartnega pri Slovenj Gradcu, umrl 1932 v Ljubljani; kipar. Deloval v obdobju moderne.	610110043;43
1945	Valjavčeva ulica	1923	Matija Valjavec-Kračmanov, roj. 1831 v Srednji Beli pri Preddvoru, umrl 1897 v Zagrebu; pesnik, folklorist in jezikoslovec, pomemben zlasti kot naglasoslovec slovenskega jezika.	610111349;1427
1946	Valjhunova ulica	1928	Valjhun, karantanski knez v 8. stoletju.	610111350;1428
